,KUA,KZL,KAV,KDL,KTR,KTM,KCV,KDE,KUD,KTT,KNJ,KGM,KZU,KIK,KPU,KPA,KPD,KTS,KPC,KSV
KUA,1.0,0.03733564591074641,-0.017111555538978526,-0.20296529629960855,0.15185904508959086,0.9148004665985107,0.33835684016271067,0.8798229304372689,0.9181247554005164,-0.08200529880608858,0.2925014479068056,0.06292745458547633,0.03443535116020058,0.3494780737544571,0.566249263734676,0.8588867681469686,-0.23826228492217694,0.8536680663841187,0.92810572846125,0.15078309192842274
KZL,0.03733564591074641,1.0,0.3912739612477399,-0.004519292384543345,0.22639781595358907,0.07062854577594153,0.14107153105386894,0.04713752117143591,0.041542103518463165,0.003904549833675727,0.18596262973961544,0.4440403437319851,0.9930256516705859,0.17033110196968948,-0.17148330644664184,-0.06731930022014003,0.1855736671391102,0.0381218631522154,0.050331778398145684,0.2215845818347174
KAV,-0.017111555538978526,0.3912739612477399,1.0,0.39279633075038056,-0.25793151045981616,-0.035063616071915056,-0.0711136114227095,0.049061921883060536,-0.010524349587779093,0.3776434208562815,0.12157719918529131,0.1777043153818686,0.4052380736808033,0.10974338404506444,0.2808800915699592,0.1707333210955738,0.4606374591225208,0.10076446823343138,0.068125766298676,-0.2829374344321721
KDL,-0.20296529629960855,-0.004519292384543345,0.39279633075038056,1.0,-0.3120372058676002,-0.2143561316757745,-0.22358190812284812,-0.27941664287863877,-0.22129815763288896,0.964542631634546,-0.1577662384359163,-0.15304529593304933,-0.014095693612977826,-0.024830982032367218,0.14595655191985438,0.017872020562379416,0.7734886868408178,-0.1907943067678353,-0.18813677864423511,-0.37528906562502484
KTR,0.15185904508959086,0.22639781595358907,-0.25793151045981616,-0.3120372058676002,1.0,0.3951367365134084,0.27442854116171267,0.33615397371168765,0.3075469936674726,-0.38439129809729927,0.0741569041347593,0.03390279011165276,0.22261526481221852,0.11452317328703249,0.147769175418697,-0.060841268436773954,-0.3753400209015949,0.17737963789713135,0.14493311665752817,0.996728737993504
KTM,0.9148004665985107,0.07062854577594153,-0.035063616071915056,-0.2143561316757745,0.3951367365134084,1.0,0.4130693592483205,0.8959234433098242,0.9849775568641281,-0.1483747633112807,0.2515608178228979,0.02175147090376693,0.07298103523063734,0.3212967172403492,0.679389245597608,0.850345442931749,-0.24954899039578965,0.9335856826498383,0.9388712069509519,0.3905912437974572
KCV,0.33835684016271067,0.14107153105386894,-0.0711136114227095,-0.22358190812284812,0.27442854116171267,0.4130693592483205,1.0,0.27249339658268223,0.37306353315365076,-0.2430728719547687,0.5344386869574584,0.49940790732474544,0.1704206003327253,0.7001921839450493,0.10472284619994887,0.30644845076398447,-0.2775555112914925,0.47036907999107386,0.36141513539785036,0.29083739692531313
KDE,0.8798229304372689,0.04713752117143591,0.049061921883060536,-0.27941664287863877,0.33615397371168765,0.8959234433098242,0.27249339658268223,1.0,0.8966913026184324,-0.18471744607039028,0.14005499669596247,-0.028997901129679766,0.023102450817197414,0.24811182982733343,0.6347883540805604,0.813627886905008,-0.31691909865312534,0.826515617322705,0.8940776286051758,0.3429289132161351
KUD,0.9181247554005164,0.041542103518463165,-0.010524349587779093,-0.22129815763288896,0.3075469936674726,0.9849775568641281,0.37306353315365076,0.8966913026184324,1.0,-0.16166846334953205,0.1637333285468445,-0.00774415217928186,0.04473242796300654,0.25839749431283143,0.6666266098864823,0.8635894777740689,-0.26931145266673884,0.9480833737316903,0.96233711108811,0.30734972231708463
KTT,-0.08200529880608858,0.003904549833675727,0.3776434208562815,0.964542631634546,-0.38439129809729927,-0.1483747633112807,-0.2430728719547687,-0.18471744607039028,-0.16166846334953205,1.0,-0.11959170796349058,-0.11048656177863718,-0.010536128484919563,-0.006477164331991327,0.17315187722524084,0.13125819284818752,0.8126691604372052,-0.12663026818197626,-0.10015298398429223,-0.4462688654334149
