fund_code,embedding_x,embedding_y,cluster
KUA,-0.12376692,-0.299282,4
KZL,-0.43495825,0.37392217,2
KAV,0.27329555,-0.5841405,0
KDL,0.6759774,-0.5256534,3
KTR,0.09278778,-0.08719243,1
KTM,-0.31271902,-0.20118926,4
KCV,0.05278306,0.019222628,1
KDE,0.2143129,-0.35624263,0
KUD,-0.37085336,-0.051410582,4
KTT,0.67132014,-0.5508052,3
KNJ,0.64273375,-0.13374123,3
KGM,0.113037914,0.22265929,1
KZU,-0.26110408,0.34263682,2
KIK,0.35780066,-0.65494376,0
KPU,0.066051655,-0.46506873,0
KPA,0.16377513,-0.49131596,0
KPD,0.7332139,-0.5107901,3
KTS,-0.17071156,-0.034992743,4
KPC,0.10592827,0.100401126,1
KSV,0.12764354,-0.11058776,1
