Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,50.874663,19772476839.54,6625,KAV
2025-12-09 03:00:00,51.01054,19845953821.05,6632,KAV
2025-12-10 03:00:00,50.998738,19785827532.68,6626,KAV
2025-12-11 03:00:00,51.006471,19738890765.48,6630,KAV
2025-12-12 03:00:00,51.289137,20268150170.69,6629,KAV
2025-12-15 03:00:00,51.43087,20327699538.36,6625,KAV
2025-12-16 03:00:00,51.565672,20391622944.15,6626,KAV
2025-12-17 03:00:00,51.657758,20390609938.9,6623,KAV
2025-12-18 03:00:00,51.504628,20590810115.81,6635,KAV
2025-12-19 03:00:00,51.576961,20491409223.02,6658,KAV
2025-12-22 03:00:00,51.503355,20570396842.9,6677,KAV
2025-12-23 03:00:00,51.673769,20668607730.91,6676,KAV
2025-12-24 03:00:00,51.942937,20596123752.03,6652,KAV
2025-12-25 03:00:00,51.980526,20543937351.17,6646,KAV
2025-12-26 03:00:00,51.949901,20483161248.33,6625,KAV
2025-12-29 03:00:00,51.918183,20363441461.5,6604,KAV
2025-12-30 03:00:00,52.019911,20474492019.62,6592,KAV
2025-12-31 03:00:00,52.022725,20280030693.44,6570,KAV
2026-01-02 03:00:00,51.853446,20202012048.32,6560,KAV
