Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,1.2359,46202140.05,530,KDE
2025-12-09 03:00:00,1.241081,46150893.58,526,KDE
2025-12-10 03:00:00,1.241517,45632309.72,526,KDE
2025-12-11 03:00:00,1.241237,45509773.09,521,KDE
2025-12-12 03:00:00,1.247995,45505465.72,517,KDE
2025-12-15 03:00:00,1.255621,45728580.33,517,KDE
2025-12-16 03:00:00,1.260213,45583857.77,515,KDE
2025-12-17 03:00:00,1.259547,44631738.26,517,KDE
2025-12-18 03:00:00,1.258734,45008669.45,519,KDE
2025-12-19 03:00:00,1.259915,45437713.32,522,KDE
2025-12-22 03:00:00,1.262642,45735281.59,523,KDE
2025-12-23 03:00:00,1.25813,46039046.76,532,KDE
2025-12-24 03:00:00,1.258133,45445674.61,537,KDE
2025-12-25 03:00:00,1.261475,41316999.14,534,KDE
2025-12-26 03:00:00,1.262375,41346477.74,534,KDE
2025-12-29 03:00:00,1.263947,41370191.62,529,KDE
2025-12-30 03:00:00,1.259001,41053490.18,530,KDE
2025-12-31 03:00:00,1.263676,41137698.46,530,KDE
2026-01-02 03:00:00,1.269223,41025132.55,527,KDE
