Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,45.92962,27971163387.05,8270,KDL
2025-12-09 03:00:00,46.054351,28093909483.03,8271,KDL
2025-12-10 03:00:00,46.082167,27911980861.45,8266,KDL
2025-12-11 03:00:00,46.107186,27849978402.9,8274,KDL
2025-12-12 03:00:00,46.127262,27843534957.44,8264,KDL
2025-12-15 03:00:00,46.134331,27873107956.17,8266,KDL
2025-12-16 03:00:00,46.23074,28385617727.43,8272,KDL
2025-12-17 03:00:00,46.244568,28256388898.8,8253,KDL
2025-12-18 03:00:00,46.268508,28213846409.64,8258,KDL
2025-12-19 03:00:00,46.27838,28105626912.6,8266,KDL
2025-12-22 03:00:00,46.279606,28425082877.22,8272,KDL
2025-12-23 03:00:00,46.369655,28490118488.22,8266,KDL
2025-12-24 03:00:00,46.386561,28008303278.04,8233,KDL
2025-12-25 03:00:00,46.384617,27819000150.42,8214,KDL
2025-12-26 03:00:00,46.409433,27731178408.98,8187,KDL
2025-12-29 03:00:00,46.418035,27509717850.26,8172,KDL
2025-12-30 03:00:00,46.516586,27876458859.44,8162,KDL
2025-12-31 03:00:00,46.527762,27602781042.52,8125,KDL
2026-01-02 03:00:00,46.514612,28151227440.83,8116,KDL
