Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,2.375095,1594383155.17,15321,KGM
2025-12-09 03:00:00,2.376483,1622441748.85,15557,KGM
2025-12-10 03:00:00,2.407329,1674567520.53,15957,KGM
2025-12-11 03:00:00,2.45813,1737251342.44,16176,KGM
2025-12-12 03:00:00,2.537145,1825583716.32,16399,KGM
2025-12-15 03:00:00,2.60269,1906603883.4,16634,KGM
2025-12-16 03:00:00,2.582451,1903061878.16,16859,KGM
2025-12-17 03:00:00,2.583575,1996642193.9,17476,KGM
2025-12-18 03:00:00,2.660204,2051277430.16,17923,KGM
2025-12-19 03:00:00,2.67522,2105810502.18,18226,KGM
2025-12-22 03:00:00,2.694524,2185766589.86,18578,KGM
2025-12-23 03:00:00,2.808041,2320373413.9,18882,KGM
2025-12-24 03:00:00,2.831905,2468797723.21,19520,KGM
2025-12-25 03:00:00,2.897661,2619379800.48,20152,KGM
2025-12-26 03:00:00,2.887438,2610138637.82,20152,KGM
2025-12-29 03:00:00,2.966358,2681479637.56,20152,KGM
2025-12-30 03:00:00,2.946672,2661479665.69,20443,KGM
2025-12-31 03:00:00,3.049871,2898020542.81,22183,KGM
2026-01-02 03:00:00,2.992829,2881209165.25,22248,KGM
