Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,1.096459,128803328.05,1054,KIK
2025-12-09 03:00:00,1.104649,129199753.14,1047,KIK
2025-12-10 03:00:00,1.100787,128439783.49,1042,KIK
2025-12-11 03:00:00,1.10546,128378043.08,1033,KIK
2025-12-12 03:00:00,1.110266,128570280.67,1030,KIK
2025-12-15 03:00:00,1.11119,128110600.08,1023,KIK
2025-12-16 03:00:00,1.102293,126999000.72,1016,KIK
2025-12-17 03:00:00,1.096911,125691631.21,1020,KIK
2025-12-18 03:00:00,1.091915,125365093.6,1008,KIK
2025-12-19 03:00:00,1.087243,124581786.47,1009,KIK
2025-12-22 03:00:00,1.088689,124316750.03,1006,KIK
2025-12-23 03:00:00,1.09328,124823061.15,995,KIK
2025-12-24 03:00:00,1.093566,123507178.76,998,KIK
2025-12-25 03:00:00,1.099317,125050902.25,997,KIK
2025-12-26 03:00:00,1.103623,125540733.46,997,KIK
2025-12-29 03:00:00,1.105234,125402403.76,993,KIK
2025-12-30 03:00:00,1.100894,125044781.85,985,KIK
2025-12-31 03:00:00,1.101011,124847864.13,982,KIK
2026-01-02 03:00:00,1.102982,125179018.36,977,KIK
