Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,1.17421,325077953.08,11256,KPA
2025-12-09 03:00:00,1.190535,328121623.8,11235,KPA
2025-12-10 03:00:00,1.19196,327130477.37,11224,KPA
2025-12-11 03:00:00,1.182828,324038687.36,11170,KPA
2025-12-12 03:00:00,1.19729,326412508.79,11145,KPA
2025-12-15 03:00:00,1.202099,326716241.88,11114,KPA
2025-12-16 03:00:00,1.211619,329198153.56,11092,KPA
2025-12-17 03:00:00,1.203715,325981210.1,11090,KPA
2025-12-18 03:00:00,1.198778,324490156.69,11053,KPA
2025-12-19 03:00:00,1.199293,323817204.67,11038,KPA
2025-12-22 03:00:00,1.20011,325306968.45,11000,KPA
2025-12-23 03:00:00,1.19418,323116018.21,10986,KPA
2025-12-24 03:00:00,1.194027,320450753.78,10984,KPA
2025-12-25 03:00:00,1.202691,321309191.21,10934,KPA
2025-12-26 03:00:00,1.207965,321400355.68,10904,KPA
2025-12-29 03:00:00,1.204138,316825622.13,10861,KPA
2025-12-30 03:00:00,1.192981,313816243.46,10849,KPA
2025-12-31 03:00:00,1.210372,317863146.19,10845,KPA
2026-01-02 03:00:00,1.216334,319277039.33,10810,KPA
