Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,14.262472,5364631175.88,18973,KPC
2025-12-09 03:00:00,14.439298,5391879999.51,18944,KPC
2025-12-10 03:00:00,14.523092,5418295940.61,18924,KPC
2025-12-11 03:00:00,14.397223,5363976283.1,18877,KPC
2025-12-12 03:00:00,14.579731,5419009946.53,18843,KPC
2025-12-15 03:00:00,14.721721,5467730023.03,18811,KPC
2025-12-16 03:00:00,14.845309,5503576785.21,18781,KPC
2025-12-17 03:00:00,14.778062,5469448642.52,18769,KPC
2025-12-18 03:00:00,14.71669,5443929931.29,18709,KPC
2025-12-19 03:00:00,14.756531,5452156733.45,18668,KPC
2025-12-22 03:00:00,14.781269,5456917145.94,18630,KPC
2025-12-23 03:00:00,14.708247,5435885074.99,18598,KPC
2025-12-24 03:00:00,14.697496,5427553809.74,18599,KPC
2025-12-25 03:00:00,14.809583,5435050706.75,18543,KPC
2025-12-26 03:00:00,14.880399,5457278664.18,18475,KPC
2025-12-29 03:00:00,14.909678,5463363997.61,18426,KPC
2025-12-30 03:00:00,14.663395,5369928644.51,18387,KPC
2025-12-31 03:00:00,14.838181,5410130043.76,18380,KPC
2026-01-02 03:00:00,14.973406,5458394454.03,18346,KPC
