Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,2.707492,294670498.93,5573,KPU
2025-12-09 03:00:00,2.743854,297510343.19,5565,KPU
2025-12-10 03:00:00,2.760439,298839021.56,5564,KPU
2025-12-11 03:00:00,2.734577,295743531.86,5547,KPU
2025-12-12 03:00:00,2.765673,297386691.76,5536,KPU
2025-12-15 03:00:00,2.788433,299687076.68,5526,KPU
2025-12-16 03:00:00,2.812348,302124186.4,5516,KPU
2025-12-17 03:00:00,2.799045,299738564.38,5510,KPU
2025-12-18 03:00:00,2.772281,290314037.65,5496,KPU
2025-12-19 03:00:00,2.781753,291296379.76,5478,KPU
2025-12-22 03:00:00,2.794995,293023841.18,5473,KPU
2025-12-23 03:00:00,2.781082,290086478.89,5463,KPU
2025-12-24 03:00:00,2.788457,290475421.75,5457,KPU
2025-12-25 03:00:00,2.806924,291944347.49,5429,KPU
2025-12-26 03:00:00,2.812912,291859789.82,5418,KPU
2025-12-29 03:00:00,2.823138,291919764.4,5394,KPU
2025-12-30 03:00:00,2.843704,294444636.62,5386,KPU
2025-12-31 03:00:00,2.883972,296893700.31,5385,KPU
2026-01-02 03:00:00,2.899584,298190736.87,5378,KPU
