Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,4.495379,36010376077.91,14490,KSV
2025-12-09 03:00:00,4.499568,35916904235.97,14482,KSV
2025-12-10 03:00:00,4.503406,35452059605.2,14432,KSV
2025-12-11 03:00:00,4.507601,35258668270.87,14343,KSV
2025-12-12 03:00:00,4.511551,35210397463.78,14311,KSV
2025-12-15 03:00:00,4.524125,35297641214.48,14258,KSV
2025-12-16 03:00:00,4.528315,34957791070.18,14174,KSV
2025-12-17 03:00:00,4.532475,34217721896.79,14138,KSV
2025-12-18 03:00:00,4.536676,34328300758.01,14109,KSV
2025-12-19 03:00:00,4.540454,34325760290.65,14041,KSV
2025-12-22 03:00:00,4.553097,33804249307.11,14008,KSV
2025-12-23 03:00:00,4.557316,33763574533.31,13977,KSV
2025-12-24 03:00:00,4.561633,34387713627.5,13918,KSV
2025-12-25 03:00:00,4.56588,34920030020.21,13918,KSV
2025-12-26 03:00:00,4.569989,34886698497.82,13829,KSV
2025-12-29 03:00:00,4.582736,34170440767.51,13801,KSV
2025-12-30 03:00:00,4.586987,34326610723.62,13730,KSV
2025-12-31 03:00:00,4.591078,33516678046.23,13637,KSV
2026-01-02 03:00:00,4.599625,32634939663.46,13519,KSV
