Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,8.256522,19367730055.2,853,KTR
2025-12-09 03:00:00,8.265886,19395882142.21,856,KTR
2025-12-10 03:00:00,8.274148,19411145892.63,855,KTR
2025-12-11 03:00:00,8.282387,19430174621.59,853,KTR
2025-12-12 03:00:00,8.29068,19448987960.41,856,KTR
2025-12-15 03:00:00,8.314377,19490495242.11,850,KTR
2025-12-16 03:00:00,8.323882,19515066225.66,850,KTR
2025-12-17 03:00:00,8.33208,19530429953.95,840,KTR
2025-12-18 03:00:00,8.340357,19537354093.74,835,KTR
2025-12-19 03:00:00,8.348687,19563188853.76,834,KTR
2025-12-22 03:00:00,8.372419,19624949090.78,838,KTR
2025-12-23 03:00:00,8.381953,19651610759.28,841,KTR
2025-12-24 03:00:00,8.390264,19665716237.75,835,KTR
2025-12-25 03:00:00,8.398579,19674442322.79,836,KTR
2025-12-26 03:00:00,8.406957,19709471365.48,838,KTR
2025-12-29 03:00:00,8.430849,19759605693.95,834,KTR
2025-12-30 03:00:00,8.440443,19781626980.64,836,KTR
2025-12-31 03:00:00,8.448886,19794898359.41,829,KTR
2026-01-02 03:00:00,8.46504,19831565300.5,831,KTR
