Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,1.161497,129348998.72,2094,KUA
2025-12-09 03:00:00,1.170407,130108799.45,2089,KUA
2025-12-10 03:00:00,1.168094,129692040.18,2091,KUA
2025-12-11 03:00:00,1.16376,128765591.22,2077,KUA
2025-12-12 03:00:00,1.175923,128577295.52,2065,KUA
2025-12-15 03:00:00,1.185025,129291630.42,2053,KUA
2025-12-16 03:00:00,1.193622,128486834.97,2047,KUA
2025-12-17 03:00:00,1.187501,126818377.12,2044,KUA
2025-12-18 03:00:00,1.182693,125521395.68,2026,KUA
2025-12-19 03:00:00,1.186657,126579497.54,2028,KUA
2025-12-22 03:00:00,1.184775,126008401.51,2024,KUA
2025-12-23 03:00:00,1.180511,125433884.07,2017,KUA
2025-12-24 03:00:00,1.172473,122003507.04,2016,KUA
2025-12-25 03:00:00,1.180347,122060260.07,2002,KUA
2025-12-26 03:00:00,1.187231,122772207.0,2002,KUA
2025-12-29 03:00:00,1.189933,120775484.48,1990,KUA
2025-12-30 03:00:00,1.173102,117463108.98,1995,KUA
2025-12-31 03:00:00,1.183646,117539834.61,1971,KUA
2026-01-02 03:00:00,1.194178,118374528.35,1957,KUA
