Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,2.15542,631203674.28,6220,KZU
2025-12-09 03:00:00,2.146435,626938104.54,6222,KZU
2025-12-10 03:00:00,2.143298,634601196.47,6195,KZU
2025-12-11 03:00:00,2.142446,631068087.85,6182,KZU
2025-12-12 03:00:00,2.154438,630208528.26,6163,KZU
2025-12-15 03:00:00,2.202009,630969815.38,6141,KZU
2025-12-16 03:00:00,2.212329,628811750.3,6127,KZU
2025-12-17 03:00:00,2.190626,629334594.51,6107,KZU
2025-12-18 03:00:00,2.206109,632228360.73,6117,KZU
2025-12-19 03:00:00,2.213588,696750838.83,6106,KZU
2025-12-22 03:00:00,2.21833,689568766.47,6102,KZU
2025-12-23 03:00:00,2.261149,701693666.55,6101,KZU
2025-12-24 03:00:00,2.291243,718914999.57,6105,KZU
2025-12-25 03:00:00,2.313737,768088040.26,6097,KZU
2025-12-26 03:00:00,2.317637,771873472.21,6128,KZU
2025-12-29 03:00:00,2.327101,779635279.79,6147,KZU
2025-12-30 03:00:00,2.306946,774816199.29,6152,KZU
2025-12-31 03:00:00,2.280948,762736397.39,6149,KZU
2026-01-02 03:00:00,2.255286,769628344.05,6136,KZU
